
Filter ID:  |  Fs:   | Type: |  Order: |   f_low: | f_high: 

          0 |     32 |     1 |       8 |      0.1 | 0       
          1 |     32 |     1 |       8 |        1 | 0       
          2 |     32 |     1 |       8 |        2 | 0       
          3 |     32 |     1 |       8 |        5 | 0       
          4 |     32 |     1 |       8 |        0 | 15      
          5 |     32 |     1 |       8 |     0.01 | 15      
          6 |     32 |     1 |       8 |      0.1 | 15      
          7 |     32 |     1 |       8 |      0.5 | 15      
          8 |     32 |     1 |       8 |        2 | 15      
          9 |     64 |     1 |       8 |      0.1 | 0       
         10 |     64 |     1 |       8 |        1 | 0       
         11 |     64 |     1 |       8 |        2 | 0       
         12 |     64 |     1 |       8 |        5 | 0       
         13 |     64 |     1 |       8 |        0 | 30      
         14 |     64 |     1 |       8 |     0.01 | 30      
         15 |     64 |     1 |       8 |      0.1 | 30      
         16 |     64 |     1 |       8 |      0.5 | 30      
         17 |     64 |     1 |       8 |        2 | 30      
         18 |    128 |     1 |       8 |      0.1 | 0       
         19 |    128 |     1 |       8 |        1 | 0       
         20 |    128 |     1 |       8 |        2 | 0       
         21 |    128 |     1 |       8 |        5 | 0       
         22 |    128 |     1 |       8 |        0 | 30      
         23 |    128 |     1 |       8 |        0 | 60      
         24 |    128 |     1 |       8 |     0.01 | 30      
         25 |    128 |     1 |       8 |     0.01 | 60      
         26 |    128 |     1 |       8 |      0.1 | 30      
         27 |    128 |     1 |       8 |      0.1 | 60      
         28 |    128 |     1 |       8 |      0.5 | 30      
         29 |    128 |     1 |       8 |      0.5 | 60      
         30 |    128 |     1 |       8 |        2 | 30      
         31 |    128 |     1 |       8 |        2 | 60      
         32 |    256 |     1 |       8 |      0.1 | 0       
         33 |    256 |     1 |       8 |        1 | 0       
         34 |    256 |     1 |       8 |        2 | 0       
         35 |    256 |     1 |       8 |        5 | 0       
         36 |    256 |     1 |       8 |        0 | 30      
         37 |    256 |     1 |       8 |        0 | 60      
         38 |    256 |     1 |       8 |        0 | 100     
         39 |    256 |     1 |       6 |     0.01 | 30      
         40 |    256 |     1 |       8 |     0.01 | 60      
         41 |    256 |     1 |       8 |     0.01 | 100     
         42 |    256 |     1 |       8 |      0.1 | 30      
         43 |    256 |     1 |       8 |      0.1 | 60      
         44 |    256 |     1 |       8 |      0.1 | 100     
         45 |    256 |     1 |       8 |      0.5 | 30      
         46 |    256 |     1 |       8 |      0.5 | 60      
         47 |    256 |     1 |       8 |      0.5 | 100     
         48 |    256 |     1 |       8 |        2 | 30      
         49 |    256 |     1 |       8 |        2 | 60      
         50 |    256 |     1 |       8 |        2 | 100     
         51 |    256 |     1 |       8 |        5 | 30      
         52 |    256 |     1 |       8 |        5 | 60      
         53 |    256 |     1 |       8 |        5 | 100     
         54 |    512 |     1 |       8 |      0.1 | 0       
         55 |    512 |     1 |       8 |        1 | 0       
         56 |    512 |     1 |       8 |        2 | 0       
         57 |    512 |     1 |       8 |        5 | 0       
         58 |    512 |     1 |       8 |        0 | 30      
         59 |    512 |     1 |       8 |        0 | 60      
         60 |    512 |     1 |       8 |        0 | 100     
         61 |    512 |     1 |       8 |        0 | 200     
         62 |    512 |     1 |       6 |     0.01 | 30      
         63 |    512 |     1 |       6 |     0.01 | 60      
         64 |    512 |     1 |       6 |     0.01 | 100     
         65 |    512 |     1 |       8 |     0.01 | 200     
         66 |    512 |     1 |       8 |      0.1 | 30      
         67 |    512 |     1 |       8 |      0.1 | 60      
         68 |    512 |     1 |       8 |      0.1 | 100     
         69 |    512 |     1 |       8 |      0.1 | 200     
         70 |    512 |     1 |       8 |      0.5 | 30      
         71 |    512 |     1 |       8 |      0.5 | 60      
         72 |    512 |     1 |       8 |      0.5 | 100     
         73 |    512 |     1 |       8 |      0.5 | 200     
         74 |    512 |     1 |       8 |        2 | 30      
         75 |    512 |     1 |       8 |        2 | 60      
         76 |    512 |     1 |       8 |        2 | 100     
         77 |    512 |     1 |       8 |        2 | 200     
         78 |    512 |     1 |       8 |        5 | 30      
         79 |    512 |     1 |       8 |        5 | 60      
         80 |    512 |     1 |       8 |        5 | 100     
         81 |    512 |     1 |       8 |        5 | 200     
         82 |    600 |     1 |       8 |      0.1 | 0       
         83 |    600 |     1 |       8 |        1 | 0       
         84 |    600 |     1 |       8 |        2 | 0       
         85 |    600 |     1 |       8 |        5 | 0       
         86 |    600 |     1 |       8 |        0 | 30      
